n_cal,auc,auc_std,recall,f1,fpr,tau
1000,0.9451617498675159,0.0,0.8604118993135013,0.12026398310744679,0.054982272530960295,0.7988987326622009
5000,0.9451617498675159,0.0,0.8604118993135013,0.13197012835891955,0.04917891184476161,0.8032435297966003
10000,0.9451617498675159,0.0,0.8604118993135013,0.13071875843461517,0.04966905376495284,0.8026017665863037
